RESNT,RESNE,RESSE,RESST,RESMW,INDNT,INDNE,INDSE,INDST,INDMW,COMNT,COMNE,COMSE,COMST,COMMW,OTHNT,OTHNE,OTHSE,OTHST,OTHMW
348584.78,1098663.59,3694385.61,1132506.01,506540.49,840290.35,2015783.31,6977470.82,1810980.19,364326.99,193809.56,589290.26,2450453.29,704001.74,307282.07,191749.65,753375.22,1807214.68,862625.1,329024.31
323402.68,1000221.33,3511541.26,1121970.48,472102.53,810256.28,1942019.69,7084622.66,1931866.43,372651.51,175495.3,550772.61,2396965.2,733894.86,290146.85,198294.33,646754.37,1721584.39,902496.09,321111.92
320237.37,1049437.16,3629455.43,1108027.32,493180.88,880887.96,2082250.48,7087613.26,2149030.63,408630.62,182756.9,573027.99,2402520.74,738457.06,307100.15,190294.46,668027.48,1784206.25,903255.39,325931.88
339774.86,1097250.59,3733863.11,1132047.07,506070.92,861612.1,2056946.75,7384539.63,2164762.2,419430.051,189490.76,603938.73,2580913.88,743570.47,329160.91,207984.39,703863.41,1802006.34,832931.4,356024.78
332154.91,1033006.84,3537268.72,1082102.57,492808.31,901709.8,2100191.37,7258306.72,2164980.22,407523.81,191642.19,570176.52,2344084,696579.47,303237.91,199972.02,720209.79,1766969.28,779363.9,362218.13
332089.22,1002350.77,3433442.5,1056850.13,466358.82,906709.59,2105230.03,7501655.14,2143096.96,450943.9,194163,573743.48,2159479.47,627651.66,284962.96,208420.1,727977.46,1803940.3,728964.81,374931.18
328423.06,969181.4,3457622.77,1066704.84,470538.95,936236.12,2157223.26,7580439.22,2169915.3,462993.05,194497.31,539451.79,2233526.25,636654.44,283104.36,205846.08,710317.67,1822697.22,725518.31,395113.27
338836.36,962934.27,3453322.43,1070192.4,479191.68,979205.39,2205098.53,7710195.65,2223451.74,474389.47,198855.04,544149.72,2192652.02,645522.79,286087.95,212999.1,726332.07,1833404.77,714015.51,406020.9
351459.29,1041242.4,3596160.18,1100557.28,514970.9,916923.36,2185140.64,7747917.02,2150364.23,460469.51,204079.81,577055.22,2359084.75,664784.32,316317.19,214694.08,766592.08,1890523.79,738705.75,435409.44
353206.64,1046248.88,3608130.03,1069478.33,529450.12,947638.03,2227272.24,7762817.38,2130103.06,466901.98,204616.96,585636.25,2415035.59,657062.43,325638.6,218705.12,798723.62,2053894.16,734053.68,421507.84
362279.36,1083211.65,3608514.98,1071489.88,505694.41,934564.96,2196814.57,7869101.61,2027557.96,419737.75,208618.78,614453.09,2418875.16,677551,313670.57,214175.36,813985.52,1908302.43,752820.39,365704.62
355893.7,1104220.24,3569437.91,1100567.13,513252.35,952561.92,2234001.87,7777337.34,1995865.76,432117.01,208270,631929.63,2503405.09,730944.37,325587.5,223895.24,800357.98,1900467.61,837837.1,364156.68
355959.69,1166974.25,3873894.22,1194715.76,526993.91,923505.7,2163115.35,7298293,1866926.4,398912.671,204290.06,642308.3,2564318.11,763906.01,317721.49,203783.13,802778.03,1781983,983868.02,341190.34
336135.27,1132479.36,3616967.02,1161664.28,511087.25,899364.1,2012795.6,7377941.5,2049609.24,406829.49,190882.29,621586.28,2471439.25,764488.64,317209.68,192742.71,759176.87,1690707.09,990823.7,334551.35
341724.52,1137173.86,3711050.63,1155063.52,520203.14,928585.68,2157383.72,7406089.29,2142695.5,430507.219,200009.46,636501.89,2584264.96,793611.23,338132.26,199277.87,761142.02,1815242.99,978502.96,361468.79
350369.27,1145853.58,3923734.98,1180033.86,531746.47,894471.92,2133404.49,7745456.13,2137584.31,463072.03,201345.27,640080.82,2701315.3,790952.72,353385.71,205700.05,756076.59,1933901.19,888437.25,378579.97
338680.99,1118875.72,3655561.35,1099102.06,505927.33,940021.18,2227816.09,7505360.76,2171215.21,447906.4,202821.74,634012.42,2502344.1,712920.46,325504.97,207884.67,757896.45,1918697.22,816582.85,393018.64
352715.7,1071456.85,3710837.24,1128836.79,517429.16,920067.47,2151482.29,7506187.5,2132785.85,429883,209084.89,600850.18,2463655.85,707961.12,315967.2,210419.9,751425.51,1953186.4,790740.03,401208.99
356661.32,1047171.87,3626333.22,1112987.62,501666.47,934866.83,2237703.67,7608434.85,2147746.49,501694.12,212586.15,589066,2354907.38,685081.57,305615.83,214803.48,769836.94,1919442.99,778746.38,416963.94
